policy,seed,condition,detectedAt,missed,detectionRate,handoffAt,handoffRate,meanCappedS,rmseM,custodyPct,postTowerSamples,postTowerCustodySamples,falseConfirmations
"baseline","591926","haze","20","false","100",,"0","20","105.80633712970712","0","35","0","0"
"baseline","591927","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591928","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591929","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591930","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591931","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591932","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591933","haze","125","false","100",,"0","125","78.12491551845123","0","0","0","0"
"baseline","591934","clear","50","false","100","80","100","50","14.494731067440572","4.918032786885246","0","0","0"
"baseline","591935","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591936","haze","95","false","100",,"0","95","54.780094968939075","0","17","0","0"
"baseline","591937","clear","55","false","100","70","100","55","51.68990762547889","14.754098360655737","26","4","0"
"baseline","591938","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591939","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591940","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591941","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591942","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591943","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591944","clear","20","false","100","140","100","20","21.514005413243996","6.557377049180328","0","0","0"
"baseline","591945","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591946","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591947","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591948","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591949","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591950","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591951","haze",,"true","0",,"0","300","2568.8341745415387","0","0","0","1"
"baseline","591952","haze","110","false","100","125","100","110","25.680909387750706","18.0327868852459","9","0","0"
"baseline","591953","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591954","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591955","glare","5","false","100",,"0","5","81.58798298711754","0","0","0","0"
"baseline","591956","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591957","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591958","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591959","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591960","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591961","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591962","glare","110","false","100",,"0","110","39.105674929058125","0","0","0","0"
"baseline","591963","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591964","glare","190","false","100","280","100","190","89.6643564084529","4.918032786885246","0","0","0"
"baseline","591965","haze","5","false","100","300","100","5","38.079058026582786","1.639344262295082","0","0","0"
"baseline","591966","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591967","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591968","clear","150","false","100",,"0","150","41.80698983904167","0","14","0","0"
"baseline","591969","haze","5","false","100",,"0","5","27.697415509942882","0","0","0","0"
"baseline","591970","glare","20","false","100",,"0","20","175.1682348312548","0","45","0","0"
"baseline","591971","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591972","haze","295","false","100",,"0","295","377.81741479824007","0","0","0","1"
"baseline","591973","clear","55","false","100","65","100","55","23.490283163039507","27.86885245901639","0","0","0"
"baseline","591974","haze","65","false","100",,"0","65","66.36476431040525","0","7","0","0"
"baseline","591975","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591976","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591977","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591978","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591979","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591980","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591981","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591982","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591983","clear","40","false","100","120","100","40","14.014232198392483","19.672131147540984","0","0","0"
"baseline","591984","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591985","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591986","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591987","glare","105","false","100","125","100","105","35.481290330517155","14.754098360655737","0","0","0"
"baseline","591988","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591989","glare","35","false","100",,"0","35","93.33876481474046","0","32","0","0"
"baseline","591990","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591991","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591992","glare",,"true","0",,"0","300","5623.3013133691065","0","0","0","1"
"baseline","591993","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591994","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591995","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591996","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591997","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591998","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","591999","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592000","clear","30","false","100","90","100","30","23.244584784579477","24.59016393442623","0","0","0"
"baseline","592001","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592002","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592003","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592004","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592005","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592006","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592007","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592008","haze","35","false","100",,"0","35","129.35478761293774","0","15","0","0"
"baseline","592009","clear","60","false","100","80","100","60","51.951116005385096","18.0327868852459","25","0","0"
"baseline","592010","haze","165","false","100",,"0","165","75.48519000370415","0","0","0","0"
"baseline","592011","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592012","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592013","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592014","haze","100","false","100","175","100","100","41.32548858065742","4.918032786885246","0","0","0"
"baseline","592015","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592016","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592017","clear","90","false","100",,"0","90","25.21271392483445","0","0","0","0"
"baseline","592018","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592019","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592020","clear","115","false","100","295","100","115","18.98414508396399","3.278688524590164","0","0","0"
"baseline","592021","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592022","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592023","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592024","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592025","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592026","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592027","glare","235","false","100",,"0","235","296.30012820411946","0","2","0","0"
"baseline","592028","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592029","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592030","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592031","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592032","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592033","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592034","glare","230","false","100",,"0","230","41.66089944957525","0","0","0","0"
"baseline","592035","haze","120","false","100",,"0","120","54.74699146568109","0","9","0","0"
"baseline","592036","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592037","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592038","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592039","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592040","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592041","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592042","clear","215","false","100",,"0","215","65.25781580029829","0","0","0","0"
"baseline","592043","clear","175","false","100","300","100","175","31.72892171125844","1.639344262295082","0","0","0"
"baseline","592044","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592045","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592046","clear","115","false","100","290","100","115","37.208501652267515","4.918032786885246","17","3","0"
"baseline","592047","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592048","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592049","clear","35","false","100","55","100","35","27.351262773082087","32.78688524590164","19","12","0"
"baseline","592050","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592051","haze","290","false","100",,"0","290","44.89111727668745","0","0","0","0"
"baseline","592052","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592053","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592054","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592055","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592056","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592057","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592058","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592059","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592060","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592061","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592062","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592063","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592064","clear","80","false","100","115","100","80","30.312026402081816","4.918032786885246","0","0","0"
"baseline","592065","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592066","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592067","haze",,"true","0",,"0","300",,"0","0","0","0"
